wdid,icrsra,icrsdec,spectype,teff,logg,Dpc
Gaia DR2 3109933287291605504,07 22 33.16,-01 08 53.86,,,,92.91
Gaia DR2 3110951263263955840,07 11 04.02,-00 37 59.62,,,,86.33
Gaia DR2 3111116258726431616,07 15 48.63,00 15 02.73,DC,9680.0,8.202,69.52
Gaia DR2 3111706451652300800,07 16 09.57,00 38 43.99,,,,99.55
Gaia DR2 3112090288586206720,06 54 36.17,-01 36 42.74,,,,56.56
Gaia DR2 3112160034559893120,06 58 28.99,-01 22 08.13,,,,55.67
Gaia DR2 3112162508466471808,06 58 45.51,-01 15 57.23,DA,4940.0,8.057,37.49
Gaia DR2 3112703296387589760,07 05 39.94,-00 17 56.10,CND,,,90.62
Gaia DR2 3112786176370258688,07 02 45.83,00 03 18.72,DA,11796.0,8.06,46.07
Gaia DR2 3113030817705485952,07 02 03.92,00 34 34.41,DA,5065.0,8.067,88.14
Gaia DR2 3113632078770184576,06 48 29.68,00 42 54.48,DA,6724.0,7.987,49.27
Gaia DR2 3113745152369921536,06 57 56.43,00 49 54.84,DA,7518.0,8.458,57.07
Gaia DR2 3113786590215971712,06 55 56.51,00 43 49.42,DA,6426.0,8.259,68.84
Gaia DR2 3114120429433888768,06 55 12.85,01 26 13.19,,,,50.13
Gaia DR2 3114596105649038208,07 03 13.59,01 02 57.29,DQ,5017.0,7.84,59.40
Gaia DR2 3114950049613545216,07 16 03.65,01 59 47.10,DA,9448.0,7.892,45.91
Gaia DR2 3115255297232487040,07 12 50.64,02 47 44.42,,,,97.94
Gaia DR2 3115373567751064704,07 01 47.21,01 26 31.61,DC:,7117.0,7.836,67.16
Gaia DR2 3115548385797986304,07 06 11.29,02 18 41.81,,,,47.91
Gaia DR2 3116308251414533504,07 03 11.31,03 42 23.14,,,,87.80
Gaia DR2 3117533141727595392,06 29 09.22,-01 44 42.61,DA,5920.0,8.452,52.88
Gaia DR2 3117902680711791744,06 14 25.01,-02 46 37.98,DA,5389.0,8.128,78.49
Gaia DR2 3118002225171588224,06 12 49.67,-02 11 07.92,DA:,8965.0,8.159,96.54
Gaia DR2 3118306029683107840,06 22 10.88,-01 29 22.18,,,,69.76
Gaia DR2 3118341214052402048,06 25 00.71,-01 29 39.21,DA:,4817.0,7.779,79.84
Gaia DR2 3118420619409587712,06 24 09.03,-01 04 03.30,DC,6310.0,8.097,96.89
Gaia DR2 3118424948738692352,06 24 04.61,-00 56 49.82,DA,6413.0,7.968,94.38
Gaia DR2 3118951168129651840,06 37 33.51,-01 01 23.15,,,,98.07
Gaia DR2 311899773416896000,00 49 49.30,29 03 22.08,DA,5517.0,8.023,90.26
Gaia DR2 3119203643485532416,06 35 21.14,-00 44 55.21,DA,7248.0,8.016,61.70
Gaia DR2 3119278685156136064,06 33 32.25,-00 21 38.41,DA,4181.0,7.237,89.96
Gaia DR2 3119538101180296192,06 40 14.95,00 00 50.71,,,,99.92
Gaia DR2 311995529713097984,00 51 16.68,29 42 01.85,CND,,,92.70
Gaia DR2 3120241513743098496,06 23 27.95,-00 00 06.04,DA,5316.0,7.883,86.57
Gaia DR2 3121223102749655808,06 13 21.40,-01 04 11.83,DA,7933.0,8.499,82.44
Gaia DR2 3121385658671190784,06 08 51.45,-00 59 50.83,DA,17329.0,9.216,61.86
Gaia DR2 3121684764489788288,06 16 24.67,-00 16 06.21,DA,3508.0,7.489,57.57
Gaia DR2 3122856740807931904,06 13 50.54,01 04 26.38,,,,16.86
Gaia DR2 3123335990434815488,06 20 24.57,00 32 29.30,,,,73.31
Gaia DR2 3123417526096933248,06 25 41.86,01 04 45.03,DC:,8628.0,8.256,85.39
Gaia DR2 3124006761248364544,06 31 58.55,02 24 59.50,DA,13377.0,7.847,97.62
Gaia DR2 3124169519032692992,06 24 00.94,02 20 17.31,,,,88.48
Gaia DR2 3124548232068336768,06 21 03.03,02 06 20.09,,,,46.26
Gaia DR2 3125436603106157568,06 21 48.70,04 02 48.77,DA:,5404.0,8.19,80.05
