wdid,teff,logL,parallax,Dpc,G,BP,RP
Gaia DR2 3360357673380278016,6128.0,,17.59476683,56.84,18.083166,18.440203,17.634249
Gaia DR2 3400851484041556992,5446.0,,20.79470745,48.09,18.335129,18.744587,17.757467
Gaia DR2 3410496365678521216,5638.0,,12.7131689,78.66,18.840399,19.155052,18.425611
Gaia DR2 3411282585212210048,8027.0,,11.42556724,87.52,18.228533,18.40909,17.94631
Gaia DR2 3423693357072616192,6516.0,,19.48530386,51.32,18.077446,18.341145,17.665821
Gaia DR2 3433733208197186560,8709.0,,10.09896746,99.02,18.385838,18.552172,18.291243
Gaia DR2 3454118183841503616,4836.0,,11.09556753,90.13,19.608738,20.241705,19.061754
Gaia DR2 3464893058489831552,4600.0,,34.17501136,29.26,17.396978,17.976742,16.701323
Gaia DR2 3480846658676395136,9903.0,,14.63355898,68.34,17.008009,17.112755,16.875381
Gaia DR2 3500086050578451712,6551.0,,26.37805596,37.91,16.958227,17.180815,16.594
Gaia DR2 3523287498271504128,4811.0,,13.48771495,74.14,19.431175,19.920591,18.76864
Gaia DR2 3523596186160340992,5416.0,,10.62934753,94.08,19.36138,19.743904,18.87017
Gaia DR2 3537596340731604864,4643.0,,11.11663478,89.96,19.602953,20.228159,18.896631
Gaia DR2 3561959624322607744,4253.0,,13.57795521,73.65,19.548777,20.188196,18.758533
Gaia DR2 3564969915360837504,4475.0,,14.79150524,67.61,19.468142,20.20665,18.75413
Gaia DR2 3567819437183264512,4622.0,,13.03309594,76.73,19.791605,20.417105,19.142963
Gaia DR2 3571784963307308032,5820.0,,20.69701593,48.32,18.575138,18.985664,18.087093
Gaia DR2 3580527420777848576,4750.0,,13.6796551,73.10,19.491089,20.08531,18.83361
Gaia DR2 3581084907532733184,5393.0,,10.89444264,91.79,19.167559,19.52231,18.750015
Gaia DR2 3589939656924299392,5116.0,,12.35797387,80.92,19.25471,19.76167,18.655855
Gaia DR2 3603264874563563776,4929.0,,10.16092042,98.42,19.79687,20.249134,18.99985
Gaia DR2 3612445315620407552,5132.0,,15.36649035,65.08,18.81932,19.256304,18.230413
Gaia DR2 3628235092867980032,8563.0,,11.2680908,88.75,18.14674,18.302849,17.934387
Gaia DR2 3638333660492606976,4262.0,,12.8312584,77.93,19.770678,20.30821,19.082518
Gaia DR2 3646374187163652608,4736.0,,13.68020207,73.10,19.287521,19.90542,18.636747
Gaia DR2 3686053976966539136,4856.0,,10.56989953,94.61,18.84413,19.400688,18.220219
Gaia DR2 3719648077285116032,9220.0,,14.36996751,69.59,17.131947,17.20528,16.979116
Gaia DR2 3724064162658265088,4592.0,,12.779296,78.25,19.595886,20.272705,18.979727
Gaia DR2 3726954405066019840,4429.0,,11.11596803,89.96,19.874063,20.478727,19.181452
Gaia DR2 3766890174919919616,4716.0,,21.94346852,45.57,18.743471,19.394741,18.11992
Gaia DR2 3783929890730973184,4965.0,,12.3729875,80.82,19.303715,19.83935,18.717474
Gaia DR2 3788017050329793280,7731.0,,13.97597236,71.55,17.506092,17.638191,17.331512
Gaia DR2 385166486649719552,9813.0,,11.55490706,86.54,17.458805,17.559933,17.361753
Gaia DR2 3851943584081217408,4665.0,,16.63516662,60.11,19.241695,19.785952,18.584972
Gaia DR2 3936036638555796224,4695.0,,11.76385991,85.01,19.63812,20.212547,18.995531
Gaia DR2 3962125442437204096,4478.0,,14.61926434,68.40,19.632393,20.471867,18.915714
Gaia DR2 396963005168870528,4985.0,,26.19747302,38.17,17.774324,18.278772,17.145891
Gaia DR2 4001128414114602880,4560.0,,12.24888577,81.64,19.685825,20.323957,18.973896
Gaia DR2 401529105161219968,6435.0,,10.04891562,99.51,18.982777,19.182476,18.696848
Gaia DR2 4056004871982962048,5068.0,,13.29950037,75.19,18.968878,19.377697,18.367392
Gaia DR2 4062068266296982656,7615.0,,18.68449159,53.52,17.30984,17.424597,17.076092
Gaia DR2 4083241149369787392,10697.0,,10.87705089,91.94,17.063639,17.072973,17.001673
Gaia DR2 4116218419363068032,7449.0,,17.8739417,55.95,17.517818,17.755913,17.215164
Gaia DR2 4156223428387235968,4416.0,,14.00784872,71.39,19.319893,20.012602,18.58248
