wdid,teff,logL,parallax,Dpc,G,BP,RP
GD 117,7764.0,-3.91,14.50760683,68.93,16.581827,16.728376,16.312542
GD 1192,13507.0,,41.07940674,24.34,13.402452,13.385776,13.470695
GD 12,14428.0,,17.80302033,56.17,15.141714,15.114646,15.233983
GD 1212,10873.0,-2.82,53.58088711,18.66,13.2930565,13.325801,13.257438
GD 123,30260.0,-0.84,12.8328509,77.93,14.400037,14.222343,13.937087
GD 1234,12006.0,,12.44498625,80.35,15.996811,15.984501,16.055096
GD 125,22502.0,-1.56,26.48674597,37.75,14.079652,13.980907,14.292775
GD 127,13070.0,,21.29913865,46.95,15.291294,15.284599,15.348359
GD 129,12548.0,,20.69680348,48.32,15.422045,15.411672,15.449829
GD 13,23128.0,,12.0091395,83.27,14.963099,14.862382,15.1818695
GD 131,13805.0,,15.10918767,66.18,15.399105,15.372418,15.482632
GD 133,12206.0,-2.5,26.15076507,38.24,14.633038,14.635942,14.656378
GD 138,9053.0,,22.59127742,44.26,16.615982,16.705313,16.456451
GD 140,21827.0,-1.79,63.73294527,15.69,12.492209,12.404524,12.692608
GD 1400,11386.0,,21.62069859,46.25,15.210746,15.231833,15.178323
GD 142,13382.0,,11.13232661,89.83,15.091363,15.077692,15.1422615
GD 1442,18333.0,,11.38749844,87.82,15.764585,15.706925,15.903392
GD 148,14783.0,-2.09,22.24587764,44.95,14.515762,14.4736,14.6225815
GD 151,19809.0,,10.79616505,92.63,15.460433,15.37977,15.64347
GD 153,46171.0,-0.3,14.59295085,68.53,13.310926,13.1507225,13.632245
GD 154,11026.0,-2.72,20.82878926,48.01,15.322331,15.339685,15.30513
GD 163,16644.0,-1.7,23.59705046,42.38,13.998002,13.928068,14.163375
GD 165,12392.0,-2.43,29.99409986,33.34,14.343515,14.340441,14.369303
GD 1706,30556.0,,11.39659096,87.75,15.368653,15.232716,15.647975
GD 175,6668.0,-3.56,37.0822371,26.97,15.762831,15.981157,15.395973
GD 176,9780.0,,16.86497543,59.29,15.392278,15.450815,15.310863
GD 178,14732.0,-2.23,29.28203489,34.15,14.143891,14.106243,14.239796
GD 18,11002.0,,11.54696818,86.60,16.477287,16.510925,16.481932
GD 184,7761.0,-3.04,14.25458491,70.15,16.5107,16.60643,16.326624
GD 185,18840.0,,23.99692977,41.67,13.988785,13.911853,14.140673
GD 186,11944.0,,11.42196153,87.55,16.299334,16.30555,16.322533
GD 187,8813.0,-3.15,33.82968099,29.56,15.049837,15.147449,14.868514
GD 189,9651.0,,18.82293404,53.13,15.297146,15.226396,15.065994
GD 194,14734.0,-2.37,27.12155147,36.87,14.815782,14.790701,14.907959
GD 196,14835.0,,12.61291837,79.28,15.734602,15.702862,15.83937
GD 202,12979.0,,15.45009972,64.72,15.681082,15.672744,15.732741
GD 215,8797.0,-3.15,40.18727541,24.88,14.751989,14.845278,14.571975
GD 219,15162.0,-2.22,50.30760377,19.88,13.018942,12.980378,13.125701
GD 222,20629.0,-1.39,24.46679098,40.87,13.581623,13.490496,13.783565
GD 226,10490.0,,13.54274158,73.84,16.383213,16.419445,16.31001
GD 230,12616.0,,10.27537959,97.32,16.399382,16.394438,16.455187
GD 232,16800.0,,15.18180618,65.87,15.110195,15.045951,15.256353
GD 234,16720.0,,20.15155498,49.62,14.484944,14.420172,14.6391
GD 235,15402.0,,11.4944196,87.00,15.890592,15.853921,15.999673
GD 236,15536.0,-1.85,16.10185671,62.10,14.775615,14.7210245,14.915884
GD 244,11371.0,,15.9821109,62.57,15.76124,15.779344,15.761844
GD 246,53608.0,,13.30247556,75.17,13.040104,12.86851,13.382889
GD 25,9203.0,-3.22,49.19713714,20.33,14.535849,14.616515,14.385696
GD 256,15270.0,-2.08,21.24330366,47.07,14.6340065,14.600244,14.747891
GD 262,7021.0,-3.48,31.01284615,32.24,16.071371,16.25822,15.740475
GD 267,21753.0,,13.19265164,75.80,14.952881,14.852823,15.161172
GD 269,17431.0,,10.5932445,94.40,15.808691,15.752766,15.957118
GD 273,13257.0,,14.48508651,69.04,15.73908,15.703882,15.7883005
GD 275,10402.0,,18.32626122,54.57,15.661864,15.698927,15.612502
GD 279,14293.0,-2.28,60.56433166,16.51,12.495588,12.469657,12.5878105
GD 282,17330.0,,11.70722438,85.42,15.877527,15.822244,16.012325
GD 283,12658.0,-2.28,37.51057473,26.66,13.800297,13.797969,13.843258
GD 290,9718.0,,22.02776064,45.40,15.580831,15.649586,15.475529
GD 295,15904.0,,10.57248706,94.59,16.094961,16.046305,16.220787
GD 296,13438.0,,11.25030707,88.89,16.233326,16.21033,16.297905
GD 30,15270.0,,10.22443338,97.80,16.186256,16.147812,16.290928
GD 301,9606.0,,10.18752162,98.16,17.243483,17.307745,17.147411
GD 304,20545.0,-1.66,12.72654795,78.58,15.466473,15.381031,15.654807
GD 305,8984.0,,12.39919645,80.65,16.818592,16.91319,16.651958
GD 306,13813.0,,15.13399247,66.08,15.3973255,15.370795,15.490114
GD 307,14570.0,-2.09,14.49993065,68.97,15.429071,15.3934,15.53386
GD 308,9512.0,,17.63216909,56.71,16.386145,16.450104,16.277267
GD 309,10364.0,-3.22,39.32530378,25.43,15.123275,15.172279,15.047752
GD 31,12634.0,,41.64584528,24.01,14.345865,14.340612,14.394187
GD 310,26193.0,-1.14,11.74548788,85.14,14.9478,14.834608,15.19047
