wdid,teff,logL,parallax,Dpc,G,BP,RP
SDSS J103248.52-025520.4,10691.0,,12.05019084,82.99,16.730213,16.740385,16.694077
SDSS J104115.77+262153.5,11991.0,,11.49653637,86.98,16.516003,16.503397,16.530712
SDSS J111310.23+202916.4,13433.0,,10.06317875,99.37,16.864462,16.838362,16.928839
SDSS J120319.78+243955.7,15300.0,-2.33,10.07443403,99.26,16.69793,16.625523,16.743256
SDSS J133015.65+354742.2,11455.0,,11.57759956,86.37,16.623035,16.62903,16.608534
SDSS J143350.83+071452.2,10942.0,,10.12781585,98.74,16.854355,16.852757,16.843454
SDSS J154134.50+252329.9,11566.0,,17.12317134,58.40,15.7071,15.70403,15.688493
SDSS J155426.22+461707.8,12020.0,,11.5204778,86.80,16.49488,16.47711,16.53535
SDSS J180520.65+225608.4,12892.0,,11.493151,87.01,16.542004,16.551193,16.532038
SDSS J220827.84+223636.9,11875.0,,10.74170477,93.10,16.71284,16.706001,16.716484
Ton 10,18060.0,-2.01,18.38893333,54.38,14.783486,14.7018385,14.923404
Ton 249,12226.0,-2.51,15.89492793,62.91,15.794587,15.766723,15.818928
Ton S 573,14638.0,-2.18,12.57784197,79.50,15.826786,15.772598,15.91701
V* BV Cet,18381.0,,32.122586,31.13,14.533612,14.432653,14.70489
WD 0022+274,12685.0,,11.02213603,90.73,16.708416,16.67656,16.746056
WD 0110-565,18483.0,,10.30891988,97.00,15.774233,15.685975,15.933698
WD 0138-559,19893.0,,14.43700658,69.27,14.8564415,14.7661705,15.011862
WD 0158-160,21773.0,,14.57148212,68.63,14.656739,14.553639,14.845848
WD 0414-045,12725.0,-2.4,18.60005844,53.76,15.240177,15.207769,15.275172
WD 0418-53,19050.0,-1.77,12.13423223,82.41,15.268953,15.181122,15.433451
WD 0449-259,12200.0,,15.06954726,66.36,16.431229,16.4464,16.397219
WD 0503+147,14593.0,-2.11,25.92229839,38.58,14.098627,14.033206,14.198781
WD 0551+123,13200.0,,17.94144555,55.74,15.743676,15.744571,15.71356
WD 0615-59,15349.0,-2.07,27.72965637,36.06,13.953241,13.8890505,14.057369
WD 0700+688,12957.0,,12.58170733,79.48,16.24404,16.2185,16.277718
WD 1129+373,12615.0,-2.47,10.90230398,91.72,16.467402,16.443913,16.49542
WD 1243-215,11735.0,,13.03368043,76.72,16.172983,16.164492,16.179502
WD 1330+580,12914.0,,10.33964321,96.72,16.331219,16.287302,16.391617
WD 1336+123,14920.0,-2.03,19.39291509,51.57,14.701049,14.63437,14.807516
WD 1352+004,13855.0,-2.28,13.51882106,73.97,15.827924,15.788158,15.8887825
